review_clean,emotion_label,label,fold
Rating: 5. Kategori: Books. Teks: pengemasan cepat dan datang nya juga cepat. thank you seller and kurir,happy,0,3
Rating: 5. Kategori: Automotive. Teks: sesuai dengan gambar dan ok .trims,happy,0,3
"Rating: 5. Kategori: Gaming. Teks: packing baik, pengiriman cepatt. sudah 3 kali belanja di toko ini dan selalu puas dengan pelayanannya. terima ksih yah.",love,1,3
Rating: 1. Kategori: Carpentry. Teks: tidak seperti yang diperkirakan sebelumnya. lebih baik pakai aica aibon.,fear,3,0
Rating: 1. Kategori: Carpentry. Teks: mending jangan di beli habisin duit lagi lengket sama sekali,fear,3,3
"Rating: 1. Kategori: Carpentry. Teks: produk tidak berfungsi baik, toko tidak amanah, malah pembeli disuruh balikkin produk lagi buang ongkir aza 2x ! toko tidak baik! jangan beli disini!",fear,3,2
Rating: 1. Kategori: Other Products. Teks: .mas yang filter ini kok saya enga terima. yang lain itu ada cuman yang ini yang enga ada. bagaimana,fear,3,3
Rating: 5. Kategori: Women's Fashion. Teks: warnanya cantik ? bahannya adem tebalnya pas! jahitan rapi. ini keren banget si harga terjangkau kualitasnya oke. pelayanannya okee,love,1,3
"Rating: 1. Kategori: Beauty. Teks: parahhh, barang rusak retak di komplain malah urusannya sgt ribet! tidak akan beli lagi d sini",anger,2,4
Rating: 3. Kategori: Kids and Baby Fashion. Teks: sablonan kurang bagus. pas di cuci ancur sablonannya,sadness,4,0
"Rating: 3. Kategori: Men's Fashion. Teks: bahannya tipis dan ukuran xl nya kekecilan, terlalu sempit untuk dipakai",sadness,4,3
"Rating: 5. Kategori: Tour and Travel. Teks: respons penjual sangat baik, pengiriman sangat cepat.",happy,0,0
"Rating: 2. Kategori: Mother and Baby. Teks: klaim produknya tdk mengkerut, trnyata baru bbrp hari dipake. korsetnya mengkerut bikin tidak nyaman. sadd",sadness,4,0
"Rating: 4. Kategori: Movies and Music. Teks: lumayan lah, buat pemanasan",happy,0,4
"Rating: 4. Kategori: Women's Fashion. Teks: ukuran sesuai, cuma agak tipis mgkn karena warna putih, sesuai lah untuk hrg segitu, tq selller",happy,0,2
Rating: 2. Kategori: Mother and Baby. Teks: admin cs nya tidak nyambung ditanya apa jawab nya apa,anger,2,0
"Rating: 1. Kategori: Office & Stationery. Teks: waktu sampai nya lakban tokopedia di saya sangat lama,ketika saya tanyakan malah di suruh komplain,pelayanan nya buruk,admin yang bagian chatting nya sangat buruk dalam melayani customer",fear,3,3
"Rating: 1. Kategori: Movies and Music. Teks: aftersalesnya parah. penjual tidak baca chat dan tidak bales lg, janji tinggal janji",fear,3,1
"Rating: 1. Kategori: Carpentry. Teks: produk yang dikirim,tombol putih buat setting besar kecil nya semprotan tidak berfungsi. bagaimana?katanya garansi 30hari",anger,2,2
"Rating: 2. Kategori: Gaming. Teks: barang yang diterima cacat pada analog, untuk komplain tetap dilayani tetapi dari saya sendiri tidak kirim kesana karena ribet dalam ongkir dan pengiriman nya. lain kali tdk apa apa di buka segelnya untuk di cek analognya, sehingga tidak perlu masalah complain dan kirim balik sana lagi, terima kasih",fear,3,2
Rating: 5. Kategori: Sport. Teks: mantap boss.,love,1,1
"Rating: 5. Kategori: Kids and Baby Fashion. Teks: terimakasih, recommended seller",love,1,2
Rating: 1. Kategori: Household. Teks: pembelian kesekian kalinya dan biasanya dikemas pakai kardus tapi yang dikirim cuma pakai bubble wrap dan pecah lagi. ajukan barang rusak katanya bukan kesalahan toko tapi pas dicek masa patahannya serpihannya kurang. saya coba satuin tapi ada bagian yang memang ngak ada. apa di pengiriman mereka buka bubble wrap terus diganti gitu?,anger,2,2
"Rating: 5. Kategori: Kids and Baby Fashion. Teks: lucuuu banget gambarnya, tapi bahannya tipis ya gapapa biar adem. thanks seller",love,1,0
Rating: 1. Kategori: Mother and Baby. Teks: produk dikirim tidak lengkap !,anger,2,4
Rating: 2. Kategori: Electronics. Teks: dari 4 lampu.yg nyala cuma 3.yg 1 nya mati.padahal udah dijemur dulu sblm dipasang tadi siang.kecewa ya.,sadness,4,1
"Rating: 5. Kategori: Health. Teks: barang sudah sampai dengan cepat, sesuai dengan deskripsi produk berfungsi dengan baik, packingnya rapih dan dibungkus dengan tebal recommended banget",love,1,3
"Rating: 3. Kategori: Camera. Teks: barang bagus, pengiriman cepat, sayang packaging seada adanya. pesanan untuk menambahkan bubble wrap juga tidak diindahkan. respon juga tidak bagus.",fear,3,2
Rating: 2. Kategori: Muslim Fashion. Teks: maskernya agak kecil tdk sesuai harga.,sadness,4,0
"Rating: 5. Kategori: Beauty. Teks: warnanya soft,baguus sukaaa harga terjangkau buat ganti2 warna kuku ?",happy,0,1
"Rating: 1. Kategori: Carpentry. Teks: 3x pesan, sudah mints tolong dikirimkan dengan nota, dan di iyakan penjual, namun 3x pesan juga nota tidak di berikan",fear,3,3
Rating: 5. Kategori: Food and Drink. Teks: harga murah kualitas produk sangat baik,happy,0,2
"Rating: 2. Kategori: Men's Fashion. Teks: salah satu putarannya kunci los hingga kunci jadi tdk terpakai, tapi saya males return mungkin sesuai harga x ya. untuk respon sich oke.tp tdk ada say sorry dari penjual,",fear,3,0
Rating: 1. Kategori: Animal Care. Teks: tidak dikrm2 eksp dan toko tidak bertanggung jawab.,fear,3,2
"Rating: 3. Kategori: Beauty. Teks: kuasnya kurang bagus, terlalu tebal.",sadness,4,4
"Rating: 4. Kategori: Kids and Baby Fashion. Teks: bagus barangnya,cepet nyampeknya ?",happy,0,3
Rating: 5. Kategori: Beauty. Teks: nyaman di kulit proses pesanan cepat packaging aman ? packaging rapi respon penjualnya top,happy,0,1
Rating: 1. Kategori: Automotive. Teks: kecewa bawa tidak sesuai pesanan pesan 10 yang datang cuma 8 botol,sadness,4,0
"Rating: 1. Kategori: Computers and Laptops. Teks: kecewa sama toko official ini tidak tau kenapa pesenan pertama tidak dikonfirmasi sampe di batalin sistem karena tidak direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang tidak dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. tidak cuma sampe situ saja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe?",sadness,4,2
"Rating: 1. Kategori: Other Products. Teks: saya udah pesen, tapi tidak ada ini emg kesalahan saya pas mesen atau gimana? udah bayar box tapi tidak ada box kan sedih.boleh diulas bosku",sadness,4,4
"Rating: 5. Kategori: Tour and Travel. Teks: seller ramah n reapon cepat, packing rapi, thanks seller.",happy,0,1
Rating: 5. Kategori: Animal Care. Teks: terbaikkkkkkkkkkk,love,1,4
"Rating: 5. Kategori: Gaming. Teks: pelayanan mantap.langsung kirim dan sampainya cepet banget,packingnya juga ok banget?",love,1,4
Rating: 2. Kategori: Kids and Baby Fashion. Teks: kecewa jahitanya tidak rapih trus itu peganganya amburadul.,sadness,4,4
Rating: 3. Kategori: Kitchen. Teks: bahan katun.sy pikir anti air ternyata tidak. saya beli 2.minta warna hitam dan abu.eh di kasihnya abu semua.,sadness,4,0
Rating: 5. Kategori: Carpentry. Teks: alat mudah digunakan barang sesuai deskripsi packaging aman dan bagus pokoknya rekomend,love,1,2
Rating: 5. Kategori: Party Supplies and Craft. Teks: lambat,sadness,4,4
Rating: 1. Kategori: Kids and Baby Fashion. Teks: barang tidak sesuai dengan pesanan. pesanan imo z7 yang di kirim merk huangmi. ?,sadness,4,3
"Rating: 5. Kategori: Automotive. Teks: mantap sesuai pesanan, belum di coba,semoga bagus",love,1,1
"Rating: 5. Kategori: Carpentry. Teks: cat nya mantap, pengirimannya cepet. ?",happy,0,0
"Rating: 1. Kategori: Carpentry. Teks: brg dtg tidak sesuai pict, tidak bs d pakai rusak pengaturan aliran air nya, itung2amal aza, hrg flashsale dan ongkir 15k",fear,3,1
Rating: 5. Kategori: Sport. Teks: produk original ?,happy,0,2
Rating: 3. Kategori: Kids and Baby Fashion. Teks: tidak sama dengan gambar,fear,3,2
"Rating: 1. Kategori: Body Care. Teks: udah berkali kali dibilangin kalau yang packing bukan seller tapi tim tokopedia karena ini event bts photocard tapi jujur kecewa saja sih pas dateng paketnya begitu. udah chat mas mas kurirnya dan bilang kalau emang dia cuma ngambil saja udah rusak kondisinya. itu bener bener kayak bukan kardus tapi cuma potongan kardus yang disatuin dan direkatkan. dan saya juga tidak dapet pc jimin padahal bayar jam 3 tapi diverifikasi jam segitu. sedih, kecewa jujur.",sadness,4,0
"Rating: 5. Kategori: Electronics. Teks: 5jam lgsg sampe, packing aman buble warp, kondisi barang sudah dicoba mantab lancar bagus hasilnya, penjual fast respon. terima kasih seller.",happy,0,1
Rating: 1. Kategori: Sport. Teks: barang yang dikirim tidak ada dilist barang yang surah ditulis tapi dianggap ada. padahal yang bikinnlist penjual sendiri. dia yang menginkarin sendiri,sadness,4,1
Rating: 1. Kategori: Party Supplies and Craft. Teks: balonnya kecil sekali tidak sesuai gambar.ga bagus kualitas.ketipu dari gambar nya.kecewa,sadness,4,2
Rating: 1. Kategori: Gaming. Teks: saya minat membeli disini karena ada konfirm game ultraman evolution dengan jawaban ada donk. setelah barang sampai ternyata tidak ada. sungguh mengecewakan. terima kasih. hati hati kalau konfirmasi kelengkapan barang. tidak semua pembeli fokus ke ps2 nya. perhatikan permintaan game nya.,sadness,4,4
Rating: 4. Kategori: Women's Fashion. Teks: ukurannya sesuai. bahannya adem. produk sesuai dengan foto. warnanya cantik .,happy,0,2
Rating: 5. Kategori: Books. Teks: bukunya bagus banget semoga anakku suka. pengemasannya rapi dan cepat meskipun ada yang lecet dikit tapi seller mau bertanggung jwb dengan ksh diskon. respon sellernya ramah sekali. thanks yaa,love,1,3
Rating: 1. Kategori: Electronics. Teks: lampu nya nyala. tapi bentar saja tahan nya. habis itu mati. terus di colon lagi hidup. trus bentar saja mati. ngak tau salahnya dimana.,sadness,4,1
Rating: 1. Kategori: Food and Drink. Teks: hancurrrr. agak keras dan rasanya sudah lama,anger,2,3
"Rating: 5. Kategori: Men's Fashion. Teks: produk sesuai deskripsi, sudah diterima aman, tks",happy,0,0
Rating: 4. Kategori: Beauty. Teks: barangnya bagus banget kak tahan lama jg,happy,0,0
"Rating: 5. Kategori: Books. Teks: barang original berkualitas, pengiriman cepat.",happy,0,2
"Rating: 3. Kategori: Electronics. Teks: ini pembelian saya yang kedua kali, pada saat saya terima kondisi segel sudah terbuka dan kartu garansi beda dengan 2 unit yang saya sebelumnya meskipun garansi resmi indonesia dan unit ip cameranya berbahasa indonesia serta kondisi unit bisa dinyalakan. saran saja sebelum barang dikirim disampaikan saja kondisinya supaya lebih transparan.",happy,0,2
