review_clean,true_emotion,pred_emotion,confidence
saya tidak pernah dikecewakan oleh toko ini pokoknya untuk urusan videografi dan fotografi saya senang belanja di sini,happy,love,0.96069133
lubang hangtag tidak rapih,sadness,fear,0.5396843
respon dan pengiriman cepat packing rapi recommended seller,love,happy,0.5713995
beli baru tapi kok kacamatanya kotor dan usang,fear,anger,0.50896585
not recomended seller gara2 ini toko surprise buat ultah moment yg penting hancur gitu aja parahhhhh nyesel banget banget belanja ditoko ini,sadness,love,0.955868
bakalan jd langganan harga terjangkau pengiriman juga oke,love,happy,0.7977277
mantab barangnya sesuai dengan pesanan dan cepat sampai,love,happy,0.99047756
penjual koperatif pengiriman lmyn cpt bau ny harum seperti di hotel,happy,anger,0.47140983
payah yang dikirim kecil2 diterima byk mati sengaja pilih official dan harga mahal tau gitu pilih yang 2500 aj di toko lain sama aja hasilnya,fear,sadness,0.60035425
jelek sekali packingnya hand body saya pada tumpah,fear,anger,0.63409424
barang mau dikirim pakai ekspedisi ke luar kota tapi tidak dibungkus plastik background basah akhirnya tidak bisa dipakai sama sekali,anger,fear,0.49631307
cairan ini ga cocok untuk xiaomi f600 hancur diffuser nya rupanya cairan ini mengandung oil yg buat korosi material f600 dan garansi diffuser nya pun jd void parah ah,sadness,fear,0.674568
puasssssssssssssssssssssssss,happy,love,0.91808856
pecah gagang seller ga mau tanggung jawab sampe akhirnya tokopedia yang memutuskan bisa direfund,anger,fear,0.4581347
pengiriman lambat tidak sesuai jadwal tetapi puas,happy,sadness,0.48006314
sedikit agak lama pengiriman nya dan pengemasan plastiknya tipis,sadness,happy,0.7781839
kacau udah nanya di chat ini kalau dibikin begini bisa gak dijawab bisa trus udah jelasin di chat begini begitu chipnya harus disini dll trus malah disuruh tulis di email oke lah udah ditulis juga di email begini begitu panjang lebarr bahkan udah dikasih contoh gambar yang jelas posisinya begini ya eh yang dateng gak sesuai dengan requestnya kecewa banget lah nyesel beli disini padahal ngeliat reviewnya banyak yang beli harga juga lebih mahal sedikit dari yang lain tapi begini pelayanannya,fear,anger,0.8841091
udah punya 3 botol dan 1 refill beli lagi biar dpt botol baru yg ada sticker dermatologically tested nya,love,happy,0.84836334
geriginya bendonya kecil banget gak kayak di gambar,fear,anger,0.63895696
pertama pake normal baru 5 menit volume suka kecil sendiri liat riview disini jg banyak masalah barangnya nasib barang promo,sadness,happy,0.40290022
order dari tgl 26 nov baru sampai tgl 05 dec padahal order dari official store itupun setelah kemarin saya follow up sendiri ke ekspedisinya karena status di toped masih menunggu pick up paket sampai pun tidak dipacking dengan aman hanya selembar plastik basah kena hujan kapok ga berani lagi belanja disini melulu dichat ke penjual yang balas sistem dan hanya info masih menunggu pick up,fear,anger,0.45575815
saat baca komposisi deskripsi minuman rasa mangga rada curiga tapi karena terjual banyak tetap beli secara harganya mahal aku pikir full mangga ternyata artificial mangga manis buatan banget ga sehat,fear,sadness,0.72097886
baru 3 hari udh ga ngegrip,fear,sadness,0.600829
frame kacamata nya kurang bagus tipis sptnya gampang patah ngakbseperti kacamata pada umumnya,fear,sadness,0.7935331
pakai esktra bubble udah bayar ternyata saat dikirim tidak diberi bubble,anger,fear,0.45999426
dapet certi eye 2022 berarti memang terbaru terimakasih banyak,happy,love,0.6830415
order pake kardus ternyata dikirim pake plastik doang,fear,anger,0.9220183
well 10 hari baru sampe fix pesanan terlama di tokped saya sobek pula bungkusnya ok thanks sampai dsini,anger,happy,0.7027537
bocorr isinya,sadness,anger,0.5613759
barangggggg okkkkk,happy,love,0.83599836
mudah copot di dasbord lemnya kgk kuat,fear,sadness,0.5759361
udah banyak kali restock dan selalu kembali ke dr soap aja pdhl diluar sana banyak juga handsanitizer yg lain tapi yg trpercaya hanya dr soap deh,love,fear,0.6960977
mantap dapet harga yg miring pengiriman sehari kemudian lgsg sampee packing aman dan rapih expired juga masih 2023 makasihhh,happy,love,0.7319197
belanja ke dua kalinya barang ori packing super aman mantap gan,love,happy,0.5415966
penjual kurang ramah,anger,sadness,0.589495
barang ga bisa dipake lampunya ga nyala dan sensornya rusak,anger,fear,0.5262678
bagi yang mau beli game pass bagus nih di toko ini di layani sampai selesai makasih ngab,happy,love,0.80210227
kualitas bahan sangat baik,love,happy,0.8389366
bocor tutup tidak tertutup dengan rapat,anger,sadness,0.6341607
maaf ya untuk produk yg ini saya kasih bintang 1 karena begitu semprotan pertama sprayer nya langsung tdk bs dipake sudah coba diperbaiki ya ttp tdk bisa seperti nya kahf perlu ganti supplier botol deh,sadness,fear,0.70855075
barang mantapppp original robot harga juga lumayannnn okeee,happy,love,0.7180554
bagusss banget gambarnya sudah dicoba topup dr nfc handphone juga bisa thanks seller,love,happy,0.819828
alhamdulillah sudah sampai sabuknya keren cepet nyampenya pada hal baru kemaren sore pesannya,happy,love,0.7696884
wangi nya kyk parfum refill mirahan,anger,happy,0.64770305
hati2 beli produk nya jangan sampai kecewa berharap dapat hadiah nya malahan zonk niat belanja di official store nya malah dikirim dr toko cabang ga dpt deh hadiah nya,anger,fear,0.76998615
pesan yg eyeliner putih yg dateng malah yg itemmm hmmmmm tolong lebih teliti,fear,sadness,0.72945166
barang rusak tidak bisa adi charge sehinga tidak bisa dipakai respon penjual sangat lambat saya kecewa sbgi pembeli,anger,sadness,0.7777533
asli samsung pelayanan sangat baik,love,happy,0.6758763
lucu tasnya murah sesuai harga sih kualitasnya pas juga dianak saya,love,happy,0.88879067
bukan jam harga mahal yg didiskon tapi jam yang sesuai harga beli dan kualitasnya,happy,fear,0.6206389
nyala tapi item putih dari customer service cuman bilang diotak atik lagi kak padahal uda sejam putar2 kabelnya dicolokan tvnya could have been a better service,sadness,fear,0.655188
nyesel setengah mati beli ni produk beli gara2 liat ulasannya kok positif semua sumpah ini krim baunya ga enak banget kalo boleh digambarkan baunya itu perpaduan antara muntahan bayi dan minyak nyong2 om2 iya separah itu ini yg pada kasi ulasan idungnya pada mati rasa ato gmn ya pengiriman sih cepat dan bagus but sorry the product is a nightmare very pricey tau gini gw ttp beli wak doyok yg wanginya jauh lbh enak dan jauh lbh murah this cream is really2 not recommended,sadness,fear,0.6196605
seller komunikatif pengerjaan cepat udh repeat order,love,happy,0.6757359
keren banget adminnya dibantuin dari awal sampai akhir hehe fast respon juga ini gamenya bisa semua yaa,happy,love,0.6337427
awalnya saya kira belum dibuka untuk diisi freemcboot tyt sudah dibuka tinggal tes di mesin thx,happy,fear,0.5186184
ko ga membantu dalam masalah jerawat malah nambah banyak,sadness,fear,0.5553408
memang sih murah barangnya tp boleh lah ya komplain btw ini sy yg ga bisa make nya apa barangnya yg rusak ya udh pake splitter jg ga fungsi,fear,sadness,0.5475587
lembut banget bagus pegannya juga nyaman bobotnya sedang ngga berat juga ngga yg ringan2 banget,happy,love,0.5826021
ga dikirim barangnya,sadness,anger,0.57493645
packing perbaiki buku datang sudah penyok,anger,fear,0.4532549
sdh order ke 3 harga murah pengemasan super aman tidak pernah ada yg rusak sy terima,love,happy,0.6378436
barang ngga sesuai minta warna hitam yg dikirim warna biru pas chat tulisannya all ready stock ujung2nya bilang barang yg diinginkan habis lalu main kirim yang tidak sesuai dgn permintaan,anger,fear,0.55459446
tolong di perhatikan bagian karet nya ini kebalik karetnya ga sm lurus jahit nya malah dkirimin brg reject,sadness,fear,0.7373456
